Sample name;8-DNF8868Y5501-01
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-01 07:46:01Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.3690440469825111
2;1000.5;0.36908379053699003
3;1001;0.3691139461676347
4;1001.5;0.3691385832107945
5;1002;0.36915967186899734
6;1002.5;0.369179182144771
7;1003;0.36919908424064324
8;1003.5;0.36922134835914183
9;1004;0.36924794450279474
10;1004.5;0.3692808427741296
11;1005;0.3693220134756744
12;1005.5;0.36937341815331753
13;1006;0.3694321706297391
14;1006.5;0.36949644878441273
15;1007;0.3695652513453513
16;1007.5;0.3696375773405675
17;1008;0.3697124256980742
18;1008.5;0.36978879514588414
19;1009;0.36986568481201
20;1009.5;0.36994209362446473
21;1010;0.37001702044854523
22;1010.5;0.3700927626420255
23;1011;0.37017916263696093
24;1011.5;0.3702742369039029
25;1012;0.3703747691134033
26;1012.5;0.3704775429360139
27;1013;0.37057934194228626
28;1013.5;0.37067694970277226
29;1014;0.3707671498880235
30;1014.5;0.3708467261685917
31;1015;0.3709128258961652
32;1015.5;0.37097434158126064
33;1016;0.37102933232073376
34;1016.5;0.37107795087704093
35;1017;0.3711207933126389
36;1017.5;0.371158455589984
37;1018;0.3711915337715327
38;1018.5;0.3712206238197418
39;1019;0.3712463217970675
40;1019.5;0.3712692236659664
41;1020;0.3712907110281129
42;1020.5;0.3713201380709581
43;1021;0.37135657617929096
44;1021.5;0.37139903812795083
45;1022;0.371446591591777
46;1022.5;0.3714983041456089
47;1023;0.371553243564286
48;1023.5;0.3716104776226473
49;1024;0.37166907379553243
50;1024.5;0.37172809995778067
51;1025;0.37178565302168903
52;1025.5;0.3718413729866891
53;1026;0.3719002189485179
54;1026.5;0.3719607758815162
55;1027;0.37202162906002545
56;1027.5;0.3720813633583865
57;1028;0.3721385639509405
58;1028.5;0.3721918158120286
59;1029;0.37223970411599183
60;1029.5;0.37228081383717143
61;1030;0.37231708091426896
62;1030.5;0.37235878405636785
63;1031;0.37240500449050307
64;1031.5;0.37245476965798946
65;1032;0.37250710730014164
66;1032.5;0.3725610450582746
67;1033;0.3726156105737031
68;1033.5;0.37266983158774203
69;1034;0.3727227355417061
70;1034.5;0.37277335017691027
71;1035;0.37282718563478684
72;1035.5;0.3728939008065453
73;1036;0.37296801935868085
74;1036.5;0.37304591972595336
75;1037;0.37312397994312274
76;1037.5;0.3731985784449489
77;1038;0.37326609336619193
78;1038.5;0.37332290314161154
79;1039;0.37336538590596774
80;1039.5;0.37338992009402056
81;1040;0.37339575872249764
82;1040.5;0.3733901478166183
83;1041;0.3733763159438915
84;1041.5;0.37335652339175135
85;1042;0.373333030247632
86;1042.5;0.3733080967989675
87;1043;0.37328398293319187
88;1043.5;0.3732629490377394
89;1044;0.37324725520004404
90;1044.5;0.37323916160753995
91;1045;0.37323426403093596
92;1045.5;0.373235429753637
93;1046;0.37324461405053627
94;1046.5;0.37326088783479844
95;1047;0.3732833218195874
96;1047.5;0.3733109868180674
97;1048;0.37334295354340263
98;1048.5;0.3733782928087573
99;1049;0.37341607552729555
100;1049.5;0.37345536112224653
101;1050;0.373492580517365
102;1050.5;0.3735351381574116
103;1051;0.3735834945670834
104;1051.5;0.37363579717107764
105;1052;0.3736901935940918
