Sample name;319-DNF7868Y5501间僵
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-27 08:23:38Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.3325177378306665
2;1000.5;0.3325256467588913
3;1001;0.33251403528525714
4;1001.5;0.33249002122437404
5;1002;0.33245845454128176
6;1002.5;0.3324241850010202
7;1003;0.33239206256862913
8;1003.5;0.3323669372091483
9;1004;0.33235365868761746
10;1004.5;0.33235707686907656
11;1005;0.3323820418185653
12;1005.5;0.33243143179976486
13;1006;0.3324987221530815
14;1006.5;0.33257953341201785
15;1007;0.3326703504781598
16;1007.5;0.33276765855309326
17;1008;0.3328679427384043
18;1008.5;0.3329676879356787
19;1009;0.3330633794465026
20;1009.5;0.33315150237246194
21;1010;0.3332285427337856
22;1010.5;0.3333008714171505
23;1011;0.33338363113277264
24;1011.5;0.3334746224525031
25;1012;0.3335704131481931
26;1012.5;0.3336675709916936
27;1013;0.33376266365485574
28;1013.5;0.33385225880953057
29;1014;0.33393292422756915
30;1014.5;0.33400122768082274
31;1015;0.33405408354739474
32;1015.5;0.33409960825064133
33;1016;0.33413597907896553
34;1016.5;0.334163963912403
35;1017;0.33418477393098966
36;1017.5;0.3341996202147612
37;1018;0.33420971394375326
38;1018.5;0.33421626619800177
39;1019;0.33422048815754246
40;1019.5;0.334223590902411
41;1020;0.3342272150063473
42;1020.5;0.33423642046185814
43;1021;0.33424947638246255
44;1021.5;0.33426620262603485
45;1022;0.3342864739504491
46;1022.5;0.3343101650135799
47;1023;0.3343371506733014
48;1023.5;0.3343673057874879
49;1024;0.33440050491401363
50;1024.5;0.334436623010753
51;1025;0.33447449425759174
52;1025.5;0.3345137413138485
53;1026;0.33455913830293366
54;1026.5;0.3346091338996161
55;1027;0.3346621770786649
56;1027.5;0.33471671641484896
57;1028;0.33477120078293743
58;1028.5;0.33482407885769916
59;1029;0.3348737995139031
60;1029.5;0.33491881142631835
61;1030;0.3349608679308719
62;1030.5;0.33500979590542723
63;1031;0.33506423769940313
64;1031.5;0.3351227951817435
65;1032;0.335184070521392
66;1032.5;0.3352466657872923
67;1033;0.3353091830483884
68;1033.5;0.33537022447362397
69;1034;0.3354283919319428
70;1034.5;0.33548228759228854
71;1035;0.33553618276311215
72;1035.5;0.3355980275586769
73;1036;0.3356635921193979
74;1036.5;0.3357306443067556
75;1037;0.3357969515822304
76;1037.5;0.3358602818073028
77;1038;0.3359184025434535
78;1038.5;0.3359690816521629
79;1039;0.3360100866949113
80;1039.5;0.3360391855331794
81;1040;0.33605608659489217
82;1040.5;0.33606614240984234
83;1041;0.33607110157133624
84;1041.5;0.3360717658135811
85;1042;0.33606893667078375
86;1042.5;0.33606341587715116
87;1043;0.33605600476689024
88;1043.5;0.33604750517420795
89;1044;0.3360387186333115
90;1044.5;0.3360304467784074
91;1045;0.33601674568613327
92;1045.5;0.336001040744485
93;1046;0.3359871592641722
94;1046.5;0.33597604572192336
95;1047;0.33596864439446755
96;1047.5;0.3359658996585336
97;1048;0.3359687557908503
98;1048.5;0.33597815716814655
99;1049;0.33599504826715126
100;1049.5;0.3360203480311986
101;1050;0.33604677980712416
102;1050.5;0.3360779724143687
103;1051;0.3361146618565738
104;1051.5;0.33615527103738074
