Sample name;36-DVF4424S3701+01
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-04-30 06:32:46Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.3880134677357351
2;1000.5;0.38802587879481926
3;1001;0.38801729516696715
4;1001.5;0.3879954893355412
5;1002;0.38796603830155396
6;1002.5;0.38793451886601776
7;1003;0.38790650802994486
8;1003.5;0.3878875827943478
9;1004;0.3878833199602388
10;1004.5;0.3878992964286303
11;1005;0.3879410893005347
12;1005.5;0.38801185651759806
13;1006;0.3881039225209485
14;1006.5;0.38821170768871294
15;1007;0.3883305039643405
16;1007.5;0.38845560359128045
17;1008;0.38858229871298217
18;1008.5;0.3887058812728947
19;1009;0.38882164361446736
20;1009.5;0.3889248778811495
21;1010;0.389010876341357
22;1010.5;0.3890805753026143
23;1011;0.3891469254574339
24;1011.5;0.38921102852763356
25;1012;0.389272753435031
26;1012.5;0.38933196910144385
27;1013;0.3893885443486898
28;1013.5;0.38944234799858657
29;1014;0.38949324897295173
30;1014.5;0.38954111619360293
31;1015;0.38958614317406076
32;1015.5;0.38963743026195374
33;1016;0.3896907063887755
34;1016.5;0.38974413214386716
35;1017;0.3897963114165698
36;1017.5;0.3898458479962242
37;1018;0.3898913457721713
38;1018.5;0.38993140853375213
39;1019;0.38996464017030774
40;1019.5;0.38998964447117895
41;1020;0.3900058624251975
42;1020.5;0.390022419544432
43;1021;0.39003994213926696
44;1021.5;0.3900590431511176
45;1022;0.3900803904213994
46;1022.5;0.39010465169152747
47;1023;0.39013249490291735
48;1023.5;0.3901645879969841
49;1024;0.39020159861514325
50;1024.5;0.3902441947988101
51;1025;0.39029158133919095
52;1025.5;0.39034090628974294
53;1026;0.39039632741119573
54;1026.5;0.39045620362774414
55;1027;0.3905188941635827
56;1027.5;0.39058275784290625
57;1028;0.39064615378990947
58;1028.5;0.39070744092878706
59;1029;0.3907649783837336
60;1029.5;0.39081712507894395
61;1030;0.3908657078794736
62;1030.5;0.39092105864396715
63;1031;0.39098161112254237
64;1031.5;0.39104567863086503
65;1032;0.39111157478460046
66;1032.5;0.39117761309941423
67;1033;0.3912421070909717
68;1033.5;0.39130337037493845
69;1034;0.39135971626698
70;1034.5;0.3914094583827617
71;1035;0.39145684866493047
72;1035.5;0.3915104599005152
73;1036;0.39156619116421987
74;1036.5;0.3916219045368704
75;1037;0.3916754616992931
76;1037.5;0.39172472473231423
77;1038;0.3917675554167599
78;1038.5;0.39180181583345614
79;1039;0.3918253677632294
80;1039.5;0.3918360732869056
81;1040;0.3918339607348575
82;1040.5;0.3918251014446302
83;1041;0.39181173421475035
84;1041.5;0.3917951445490084
85;1042;0.39177661775119504
86;1042.5;0.3917574393251007
87;1043;0.39173889437451603
88;1043.5;0.3917222685032316
89;1044;0.3917088470150379
90;1044.5;0.39169991531372544
91;1045;0.39169128939732045
92;1045.5;0.3916871311782292
93;1046;0.3916897264980218
94;1046.5;0.3916984742233295
95;1047;0.3917127730207835
96;1047.5;0.39173202165701504
97;1048;0.39175561879865545
98;1048.5;0.39178296321233574
99;1049;0.39181345376468724
100;1049.5;0.39184647457340926
101;1050;0.3918775218067848
102;1050.5;0.3919131661093
103;1051;0.39195400047657164
104;1051.5;0.3919983048042163
