Sample name;78-DVF2224C3101轻斑
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-03 02:03:11Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.40194631215621257
2;1000.5;0.40191272199407474
3;1001;0.40185102751212176
4;1001.5;0.4017719816908679
5;1002;0.40168324807913625
6;1002.5;0.4015924900257497
7;1003;0.4015073710795313
8;1003.5;0.40143555478930376
9;1004;0.40138470450389035
10;1004.5;0.40136248367211386
11;1005;0.40137655594279725
12;1005.5;0.40143525276519043
13;1006;0.40153498329626397
14;1006.5;0.4016663368752134
15;1007;0.40182064877466867
16;1007.5;0.40198925456726037
17;1008;0.40216348972561866
18;1008.5;0.4023346895223737
19;1009;0.4024941896301558
20;1009.5;0.4026333255215954
21;1010;0.4027434338524312
22;1010.5;0.4028288760910077
23;1011;0.40290843910779345
24;1011.5;0.4029833782350912
25;1012;0.40305371600520357
26;1012.5;0.4031194749504333
27;1013;0.4031806775030832
28;1013.5;0.4032373460954558
29;1014;0.4032895032598538
30;1014.5;0.40333717152857995
31;1015;0.4033805603036166
32;1015.5;0.40342332872382813
33;1016;0.4034598829004872
34;1016.5;0.4034905290201882
35;1017;0.4035160165695265
36;1017.5;0.4035370949350966
37;1018;0.40355451360349354
38;1018.5;0.4035690219613121
39;1019;0.40358136949514734
40;1019.5;0.40359230559159387
41;1020;0.40360294070622277
42;1020.5;0.4036171850760997
43;1021;0.40363338373468566
44;1021.5;0.4036518090895248
45;1022;0.4036727884481614
46;1022.5;0.4036966490181402
47;1023;0.40372371820700553
48;1023.5;0.4037543234223017
49;1024;0.40378879177157306
50;1024.5;0.4038274507623643
51;1025;0.40386902042907086
52;1025.5;0.4039096474561258
53;1026;0.4039538814889304
54;1026.5;0.40400071442113206
55;1027;0.40404913844637813
56;1027.5;0.4040981453583159
57;1028;0.4041467272505927
58;1028.5;0.4041938760168559
59;1029;0.4042385837507528
60;1029.5;0.4042798423459306
61;1030;0.4043190012628196
62;1030.5;0.4043625464563928
63;1031;0.4044093582029749
64;1031.5;0.40445871235692676
65;1032;0.40450988507260954
66;1032.5;0.4045621524043841
67;1033;0.4046147904066116
68;1033.5;0.4046670752336531
69;1034;0.4047182827398693
70;1034.5;0.4047676890796216
71;1035;0.40482030869100266
72;1035.5;0.40488409804543457
73;1036;0.404953808919728
74;1036.5;0.40502615853721047
75;1037;0.4050978637212091
76;1037.5;0.40516564169505154
77;1038;0.40522620938206505
78;1038.5;0.405276284005577
79;1039;0.4053125824889149
80;1039.5;0.405331822055406
81;1040;0.40533493271020776
82;1040.5;0.405331138264001
83;1041;0.4053227142921048
84;1041.5;0.4053109145082775
85;1042;0.4052969924262773
86;1042.5;0.40528220175986257
87;1043;0.4052677958227916
88;1043.5;0.40525502842882266
89;1044;0.405245153091714
90;1044.5;0.40523942342522395
91;1045;0.40523565163712033
92;1045.5;0.40523972091545524
93;1046;0.40525279553401133
94;1046.5;0.40527314705165496
95;1047;0.40529904682725215
96;1047.5;0.4053287663196691
97;1048;0.4053605768877717
98;1048.5;0.40539274999042635
99;1049;0.40542355718649914
100;1049.5;0.40545126525151415
101;1050;0.4054742374426243
102;1050.5;0.40550208156404566
103;1051;0.4055355802853765
104;1051.5;0.40557320317621526
