Sample name;89-DVF2224C3101+03
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-03 02:36:02Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.4027464568492264
2;1000.5;0.40273028420982937
3;1001;0.4026885985718486
4;1001.5;0.40263114802937494
5;1002;0.40256482405772365
6;1002.5;0.4024965179322099
7;1003;0.40243312112814894
8;1003.5;0.4023815251208558
9;1004;0.4023486211856457
10;1004.5;0.40234130069783386
11;1005;0.4023664552327353
12;1005.5;0.4024280839567801
13;1006;0.4025177217858563
14;1006.5;0.40262885905534757
15;1007;0.4027558644662007
16;1007.5;0.402893107019363
17;1008;0.40303495561578123
18;1008.5;0.40317577895640255
19;1009;0.40330994614217397
20;1009.5;0.4034318260740425
21;1010;0.4035357883410594
22;1010.5;0.40362534281346873
23;1011;0.40371561313562737
24;1011.5;0.4038064394396258
25;1012;0.40389642905755396
26;1012.5;0.4039841893215021
27;1013;0.40406832746356025
28;1013.5;0.40414745071581876
29;1014;0.40422016641036757
30;1014.5;0.4042850818792969
31;1015;0.4043410694474723
32;1015.5;0.40439413832302834
33;1016;0.40444040925524344
34;1016.5;0.404480232189937
35;1017;0.40451440037292813
36;1017.5;0.40454370695003616
37;1018;0.4045689451670803
38;1018.5;0.40459090816987964
39;1019;0.40461038920425374
40;1019.5;0.40462818141602136
41;1020;0.40464586322100377
42;1020.5;0.4046728017130379
43;1021;0.4047076951759476
44;1021.5;0.40474913759494574
45;1022;0.404795777855245
46;1022.5;0.4048462647420584
47;1023;0.40489924724059884
48;1023.5;0.4049533743360791
49;1024;0.4050072947137119
50;1024.5;0.4050596574587102
51;1025;0.4051079964536576
52;1025.5;0.4051510268520816
53;1026;0.4051944347877717
54;1026.5;0.4052377942679378
55;1027;0.4052806795997898
56;1027.5;0.40532266469053785
57;1028;0.4053633237473918
58;1028.5;0.40540223077756166
59;1029;0.40543895998825735
60;1029.5;0.4054730853866889
61;1030;0.4055067725092315
62;1030.5;0.40554763170150715
63;1031;0.40559424550188083
64;1031.5;0.4056454576941794
65;1032;0.4057001123622295
66;1032.5;0.4057570534898579
67;1033;0.4058151250608912
68;1033.5;0.40587317115915644
69;1034;0.40593003556848
70;1034.5;0.4059845623726888
71;1035;0.40604186984613155
72;1035.5;0.406110994179818
73;1036;0.4061864828840666
74;1036.5;0.4062647719730831
75;1037;0.40634229706107305
76;1037.5;0.4064154941622423
77;1038;0.4064807989907962
78;1038.5;0.40653464756094043
79;1039;0.4065734755868807
80;1039.5;0.40659371908282244
81;1040;0.4065929841582422
82;1040.5;0.4065760289835657
83;1041;0.4065469779291454
84;1041.5;0.4065090519131894
85;1042;0.4064654716539057
86;1042.5;0.40641945806950225
87;1043;0.40637423167818715
88;1043.5;0.4063330134981684
89;1044;0.40629902424765396
90;1044.5;0.4062754847448519
91;1045;0.406255755873085
92;1045.5;0.40623977793586663
93;1046;0.4062304114935988
94;1046.5;0.4062276410894379
95;1047;0.40623145106654046
96;1047.5;0.4062418258680632
97;1048;0.40625874983716226
98;1048.5;0.4062822074169944
99;1049;0.40631218315071604
100;1049.5;0.4063486441392624
101;1050;0.4063864027535754
102;1050.5;0.4064306170876158
103;1051;0.4064810842002579
104;1051.5;0.40653528805037664
105;1052;0.4065907127968466
