Sample name;94-DVS1724S3501+01
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-03 02:48:48Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.4118563707051638
2;1000.5;0.4118120374066098
3;1001;0.4117375686463175
4;1001.5;0.41164435369808494
5;1002;0.41154038156040784
6;1002.5;0.41143364103178187
7;1003;0.4113321211107025
8;1003.5;0.4112438107956657
9;1004;0.41117669888516684
10;1004.5;0.41113877427770185
11;1005;0.4111380260717662
12;1005.5;0.4111775515030066
13;1006;0.4112457007573805
14;1006.5;0.41133565589771637
15;1007;0.41144153801503125
16;1007.5;0.41155746850034197
17;1008;0.4116775686446658
18;1008.5;0.4117959595390193
19;1009;0.41190676267441984
20;1009.5;0.4120040993418842
21;1010;0.41208209129485224
22;1010.5;0.4121427686278366
23;1011;0.41220059559355765
24;1011.5;0.41225629014424114
25;1012;0.41230933743211323
26;1012.5;0.4123592226093996
27;1013;0.41240543072832614
28;1013.5;0.41244744684111867
29;1014;0.4124847561000031
30;1014.5;0.4125168436572052
31;1015;0.4125433567745115
32;1015.5;0.41256666575143086
33;1016;0.4125813596185641
34;1016.5;0.41258867858275405
35;1017;0.41259030615084297
36;1017.5;0.4125879257296738
37;1018;0.41258322082608895
38;1018.5;0.4125778748469311
39;1019;0.4125735712990428
40;1019.5;0.4125719935892668
41;1020;0.4125751076062363
42;1020.5;0.4125860065398455
43;1021;0.41260153688325946
44;1021.5;0.412620651139036
45;1022;0.41264235670973315
46;1022.5;0.41266566089790907
47;1023;0.4126895712061215
48;1023.5;0.4127130951369284
49;1024;0.4127352398928877
50;1024.5;0.4127550130765575
51;1025;0.4127697765868459
52;1025.5;0.41277523866742866
53;1026;0.41277764342556084
54;1026.5;0.41277788360304457
55;1027;0.4127768522416814
56;1027.5;0.41277544198327354
57;1028;0.41277454576962275
58;1028.5;0.41277505634253064
59;1029;0.4127778666437994
60;1029.5;0.4127838694152307
61;1030;0.4127965076371244
62;1030.5;0.41282332552699225
63;1031;0.4128614280395351
64;1031.5;0.4129081228556011
65;1032;0.41296071795603806
66;1032.5;0.41301652122169435
67;1033;0.413072840533418
68;1033.5;0.413126983872057
69;1034;0.41317625891845955
70;1034.5;0.4132179736534737
71;1035;0.41325617711659285
72;1035.5;0.41330104880481355
73;1036;0.413348517608427
74;1036.5;0.4133963691825514
75;1037;0.41344238878230477
76;1037.5;0.41348436206280564
77;1038;0.41352007437917226
78;1038.5;0.41354731138652256
79;1039;0.4135638584399751
80;1039.5;0.413567501194648
81;1040;0.4135555226847584
82;1040.5;0.4135299073373421
83;1041;0.4134940861690148
84;1041.5;0.413450638222929
85;1042;0.4134021423422375
86;1042.5;0.41335117757009276
87;1043;0.4133003225496477
88;1043.5;0.41325215642405483
89;1044;0.4132092580364667
90;1044.5;0.41317420633003615
91;1045;0.41314075235712727
92;1045.5;0.41311004443290733
93;1046;0.4130852552511521
94;1046.5;0.4130666791631029
95;1047;0.4130546103200009
96;1047.5;0.4130493429730874
97;1048;0.4130511712736034
98;1048.5;0.4130603894727902
99;1049;0.4130772919218891
100;1049.5;0.41310214480900065
101;1050;0.4131262127433379
102;1050.5;0.4131525031670685
103;1051;0.4131820797294573
104;1051.5;0.4132136929797695
105;1052;0.4132460936672701
