Sample name;155-DVS1724S3501-02
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-06 02:16:45Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.40466496965078386
2;1000.5;0.40465658596610943
3;1001;0.40462736686047746
4;1001.5;0.40458420078151036
5;1002;0.4045326878185421
6;1002.5;0.40447842786090693
7;1003;0.4044270209979386
8;1003.5;0.404384067318971
9;1004;0.4043551667133382
10;1004.5;0.4043459191703745
11;1005;0.4043619248794135
12;1005.5;0.4044058262166719
13;1006;0.4044693182726329
14;1006.5;0.40454734451183594
15;1007;0.404635739780578
16;1007.5;0.4047303392251562
17;1008;0.40482697789186767
18;1008.5;0.4049214906270093
19;1009;0.40500971267687813
20;1009.5;0.4050874790877714
21;1010;0.4051506262119526
22;1010.5;0.4052074457954462
23;1011;0.40527537253361734
24;1011.5;0.40535229430444764
25;1012;0.4054348661859188
26;1012.5;0.40551974325601226
27;1013;0.4056035804927097
28;1013.5;0.40568303287399265
29;1014;0.4057547554778426
30;1014.5;0.4058154033822413
31;1015;0.4058620149244764
32;1015.5;0.40590419145460865
33;1016;0.4059402364476461
34;1016.5;0.4059700750843332
35;1017;0.4059940758454144
36;1017.5;0.40601260711163434
37;1018;0.40602603736373766
38;1018.5;0.40603473498246895
39;1019;0.40603906844857257
40;1019.5;0.4060394061427933
41;1020;0.4060360160337675
42;1020.5;0.4060267871949648
43;1021;0.40601013631012045
44;1021.5;0.4059886833768089
45;1022;0.4059651032926045
46;1022.5;0.4059420708550818
47;1023;0.40592226106181517
48;1023.5;0.4059083489103788
49;1024;0.4059030090983473
50;1024.5;0.40590891672329504
51;1025;0.405926354501225
52;1025.5;0.40594737917314916
53;1026;0.4059752911288766
54;1026.5;0.40600876197398617
55;1027;0.4060464636140567
56;1027.5;0.40608706755466706
57;1028;0.40612924560139574
58;1028.5;0.4061716693598217
59;1029;0.40621301063552356
60;1029.5;0.40625194103408024
61;1030;0.4062894426392155
62;1030.5;0.40633145369572066
63;1031;0.40637644046705185
64;1031.5;0.4064232842869515
65;1032;0.4064708667891616
66;1032.5;0.40651806950742453
67;1033;0.4065637739754823
68;1033.5;0.40660686182707756
69;1034;0.4066462143959522
70;1034.5;0.4066807133158486
71;1035;0.40671345866270886
72;1035.5;0.40674911046627055
73;1036;0.40678414518890815
74;1036.5;0.40681725884172115
75;1037;0.40684714703580893
76;1037.5;0.40687250578227097
77;1038;0.4068920307922069
78;1038.5;0.4069044180767161
79;1039;0.4069083633468981
80;1039.5;0.4069025626138523
81;1040;0.40688334408247806
82;1040.5;0.4068497604049296
83;1041;0.40680520720405167
84;1041.5;0.40675229117599043
85;1042;0.40669361881689226
86;1042.5;0.4066317968229029
87;1043;0.4065694314901688
88;1043.5;0.4065091296148359
89;1044;0.4064534976930503
90;1044.5;0.4064051423209582
91;1045;0.40635572254468083
92;1045.5;0.40630464914236
93;1046;0.4062563671987256
94;1046.5;0.40621244949712604
95;1047;0.40617446862090906
96;1047.5;0.40614399725342254
97;1048;0.40612260797801447
98;1048.5;0.40611187347803257
99;1049;0.40611336653682484
100;1049.5;0.4061286217585008
101;1050;0.40614620448596905
102;1050.5;0.40616638475431605
103;1051;0.40619038046859296
104;1051.5;0.4062170964338513
