Sample name;540-DVF4424H3501间僵
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-11 01:20:33Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.4961452071957149
2;1000.5;0.4961022125616769
3;1001;0.496037937308075
4;1001.5;0.49596016464050974
5;1002;0.49587499287499825
6;1002.5;0.4957885201275577
7;1003;0.49570684471420473
8;1003.5;0.4956360649509565
9;1004;0.49558227895383
10;1004.5;0.49555158493884227
11;1005;0.49555008132201045
12;1005.5;0.49558152767204017
13;1006;0.4956381393390809
14;1006.5;0.4957135076747239
15;1007;0.49580208759762723
16;1007.5;0.4958983343264481
17;1008;0.49599670297984433
18;1008.5;0.4960916484764737
19;1009;0.4961776261349938
20;1009.5;0.49624909107406207
21;1010;0.49630049859486736
22;1010.5;0.4963325336682337
23;1011;0.4963587447648967
24;1011.5;0.49638069720266165
25;1012;0.49639872349933334
26;1012.5;0.49641315617271725
27;1013;0.4964243276406181
28;1013.5;0.4964325703208412
29;1014;0.4964382167311917
30;1014.5;0.4964415993894743
31;1015;0.4964433072997799
32;1015.5;0.49645002115896003
33;1016;0.4964567518376615
34;1016.5;0.49646259862235753
35;1017;0.49646710409952116
36;1017.5;0.49646981075562574
37;1018;0.49647026117714416
38;1018.5;0.49646799785054946
39;1019;0.49646256336231476
40;1019.5;0.4964535001989132
41;1020;0.4964402083477094
42;1020.5;0.49641961879479635
43;1021;0.4963905768351551
44;1021.5;0.4963564396506944
45;1022;0.4963206193233226
46;1022.5;0.49628652783494853
47;1023;0.49625757736748016
48;1023.5;0.49623718010282614
49;1024;0.49622874792289506
50;1024.5;0.4962356931095952
51;1025;0.49625889804069107
52;1025.5;0.49628949884924484
53;1026;0.49632948863047444
54;1026.5;0.4963763230076507
55;1027;0.49642745790404463
56;1027.5;0.49648034884292713
57;1028;0.496532451647569
58;1028.5;0.49658122194124105
59;1029;0.4966241155472145
60;1029.5;0.49665858808875984
61;1030;0.496683145146284
62;1030.5;0.49669900295220143
63;1031;0.49670681415751494
64;1031.5;0.49670833295325617
65;1032;0.49670531383045696
66;1032.5;0.4966995111801493
67;1033;0.49669267939336487
68;1033.5;0.4966865729611355
69;1034;0.496682946074493
70;1034.5;0.4966835532244689
71;1035;0.4966925066415301
72;1035.5;0.4967104014591401
73;1036;0.4967324257032222
74;1036.5;0.4967562103530841
75;1037;0.4967793859880338
76;1037.5;0.49679958358737897
77;1038;0.4968144338304275
78;1038.5;0.4968215676964872
79;1039;0.4968186158648657
80;1039.5;0.4968032093148711
81;1040;0.4967718940199326
82;1040.5;0.49672572989090236
83;1041;0.49666845575628626
84;1041.5;0.4966029813674172
85;1042;0.4965322162756277
86;1042.5;0.4964590702322506
87;1043;0.4963864525886185
88;1043.5;0.49631727319606417
89;1044;0.49625444160592014
90;1044.5;0.4962008674695193
91;1045;0.49614948050446606
92;1045.5;0.4961002350354722
93;1046;0.49605642054379606
94;1046.5;0.4960184510998989
95;1047;0.4959867405742421
96;1047.5;0.4959617029372871
97;1048;0.4959437520594953
98;1048.5;0.49593330191132806
99;1049;0.4959307665632469
100;1049.5;0.4959365412351363
101;1050;0.4959452729040044
102;1050.5;0.49596182086896945
103;1051;0.4959860613080364
104;1051.5;0.4960155572992104
