Sample name;1146-DVF5548G5101+01
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-14 08:29:41Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.354873420271155
2;1000.5;0.3548798913505335
3;1001;0.3548639458258681
4;1001.5;0.3548341099618604
5;1002;0.3547960319948866
6;1002.5;0.35475535996132307
7;1003;0.35471774209754614
8;1003.5;0.35468882663993195
9;1004;0.35467426162485693
10;1004.5;0.3546796951886974
11;1005;0.3547107756678296
12;1005.5;0.35477235807218754
13;1006;0.3548593499961657
14;1006.5;0.35496568527332195
15;1007;0.3550861132512037
16;1007.5;0.3552153835773585
17;1008;0.35534824579933383
18;1008.5;0.35547944926467706
19;1009;0.3556037437209357
20;1009.5;0.35571587871565724
21;1010;0.3558106046642616
22;1010.5;0.35589276353416277
23;1011;0.35597804043871356
24;1011.5;0.35606558395493704
25;1012;0.3561533098598562
26;1012.5;0.3562391339304941
27;1013;0.3563209718438737
28;1013.5;0.35639673927701804
29;1014;0.35646435200695015
30;1014.5;0.3565217258106931
31;1015;0.3565670093648664
32;1015.5;0.356604605922552
33;1016;0.35663110929987474
34;1016.5;0.35664834594644845
35;1017;0.3566585856118869
36;1017.5;0.35666409794580395
37;1018;0.3566671526978135
38;1018.5;0.35667001951752947
39;1019;0.35667496815456556
40;1019.5;0.35668426825853566
41;1020;0.35670035016438867
42;1020.5;0.35672517134626136
43;1021;0.35675554316581437
44;1021.5;0.3567909219925186
45;1022;0.3568308190958448
46;1022.5;0.35687474564526395
47;1023;0.356922213010247
48;1023.5;0.3569727325602646
49;1024;0.35702581536478795
50;1024.5;0.35708097289328766
51;1025;0.3571367763912806
52;1025.5;0.35719328668904693
53;1026;0.3572553136938887
54;1026.5;0.3573212197472418
55;1027;0.3573893674905426
56;1027.5;0.3574581191652272
57;1028;0.3575258373127316
58;1028.5;0.3575908842744922
59;1029;0.35765162259194494
60;1029.5;0.357706414606526
61;1030;0.3577569478258263
62;1030.5;0.35781310471751826
63;1031;0.35787358031179906
64;1031.5;0.3579370234061175
65;1032;0.3580020830979223
66;1032.5;0.3580674083846622
67;1033;0.3581316482637861
68;1033.5;0.3581934518327424
69;1034;0.3582514678889802
70;1034.5;0.35830434552994805
71;1035;0.35835662274279956
72;1035.5;0.3584167974731133
73;1036;0.3584805426792518
74;1036.5;0.35854549440718475
75;1037;0.35860928830288186
76;1037.5;0.3586695604123129
77;1038;0.3587239464814477
78;1038.5;0.35877008255625603
79;1039;0.35880560438270753
80;1039.5;0.3588281480067721
81;1040;0.3588374395893261
82;1040.5;0.35883921631607096
83;1041;0.3588355382301211
84;1041.5;0.3588275150172201
85;1042;0.3588162561631114
86;1042.5;0.3588028713535384
87;1043;0.35878846987424456
88;1043.5;0.3587741615109733
89;1044;0.3587610557494681
90;1044.5;0.35875026217547235
91;1045;0.35873345688287184
92;1045.5;0.35871174935409256
93;1046;0.3586902462054793
94;1046.5;0.3586711786404132
95;1047;0.35865677766227566
96;1047.5;0.3586492743744477
97;1048;0.3586508997803106
98;1048.5;0.35866388498324536
99;1049;0.3586904611866332
100;1049.5;0.358732835512008
101;1050;0.35878489536749386
102;1050.5;0.35884892615910313
103;1051;0.35892333850226726
104;1051.5;0.35900422991241737
