Sample name;2095-DVF5548G5101+01
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-06-15 00:35:43Z

MEAS SPEC;记录光谱 1;Met：采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.25266496089277823
2;1000.5;0.2527748825495935
3;1001;0.2528744947755439
4;1001.5;0.2529629661934922
5;1002;0.2530411418863857
6;1002.5;0.25311698316874887
7;1003;0.25319152117702093
8;1003.5;0.2532646808976256
9;1004;0.2533363873129869
10;1004.5;0.2534065654075288
11;1005;0.25347514016767503
12;1005.5;0.2535420365758497
13;1006;0.2536071796184768
14;1006.5;0.25367049427797994
15;1007;0.2537323100557475
16;1007.5;0.2537944641996811
17;1008;0.25385722745438677
18;1008.5;0.2539204830208092
19;1009;0.25398411409989274
20;1009.5;0.25404800389358206
21;1010;0.2541120356028217
22;1010.5;0.2541760924295562
23;1011;0.25424005757373
24;1011.5;0.2543038142362879
25;1012;0.2543662585030259
26;1012.5;0.25443000296579327
27;1013;0.2544964735814887
28;1013.5;0.2545653309567909
29;1014;0.2546362356963786
30;1014.5;0.25470884840693037
31;1015;0.2547828296921252
32;1015.5;0.2548578401586415
33;1016;0.2549335404111582
34;1016.5;0.2550095910563538
35;1017;0.2550882521948926
36;1017.5;0.2551736377493355
37;1018;0.2552640215038641
38;1018.5;0.2553571699130911
39;1019;0.2554508494316291
40;1019.5;0.25554282651209054
41;1020;0.25563086760808795
42;1020.5;0.25571273917423376
43;1021;0.2557862076641407
44;1021.5;0.25584903953142113
45;1022;0.25590358242014644
46;1022.5;0.2559533095043335
47;1023;0.2559988590531698
48;1023.5;0.2560411880301984
49;1024;0.25608125339496196
50;1024.5;0.25612001211300345
51;1025;0.25615842114386567
52;1025.5;0.2561974374520914
53;1026;0.25623801799822365
54;1026.5;0.2562811203828161
55;1027;0.2563274582516323
56;1027.5;0.25637656787531027
57;1028;0.2564276059042284
58;1028.5;0.25647971006476505
59;1029;0.2565320180842986
60;1029.5;0.2565836676892076
61;1030;0.25663379660787017
62;1030.5;0.256681542566665
63;1031;0.2567260432929702
64;1031.5;0.25676646804220293
65;1032;0.2568043121934761
66;1032.5;0.2568414780492244
67;1033;0.2568780049433913
68;1033.5;0.25691385745592
69;1034;0.2569490001657537
70;1034.5;0.2569833976508358
71;1035;0.2570170144891094
72;1035.5;0.25704981526051784
73;1036;0.25708176454400444
74;1036.5;0.2571127163621775
75;1037;0.2571404220388128
76;1037.5;0.25716598279731273
77;1038;0.2571898452468936
78;1038.5;0.2572123055637721
79;1039;0.25723365992416464
80;1039.5;0.25725420450328773
81;1040;0.25727423547735795
82;1040.5;0.2572940490225918
83;1041;0.2573139413142057
84;1041.5;0.25733418316711476
85;1042;0.2573542917972035
86;1042.5;0.2573738843471082
87;1043;0.25739357481340164
88;1043.5;0.2574140092546566
89;1044;0.25743583372744594
90;1044.5;0.2574596942893423
91;1045;0.25748623699691847
92;1045.5;0.2575161079087474
93;1046;0.25754995308140155
94;1046.5;0.2575890868158882
95;1047;0.2576406772385303
96;1047.5;0.2577034445541099
97;1048;0.2577739819897529
98;1048.5;0.2578489042395853
99;1049;0.257924825998733
100;1049.5;0.257998361960322
101;1050;0.25806612682047814
102;1050.5;0.25812473527332747
103;1051;0.25817080201199594
104;1051.5;0.25820196118002436
105;1052;0.2582252257626504
