Sample name;2123-DVF3336S3801+01
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-06-15 01:14:51Z

MEAS SPEC;记录光谱 1;Met：采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.2782165060413863
2;1000.5;0.2783207644756788
3;1001;0.27842035779686897
4;1001.5;0.2785156656777472
5;1002;0.27860780534032215
6;1002.5;0.27870040226158505
7;1003;0.2787932945113854
8;1003.5;0.27888583997207417
9;1004;0.27897739652200254
10;1004.5;0.2790673220415217
11;1005;0.2791549744129826
12;1005.5;0.27923971151473664
13;1006;0.27932089122913484
14;1006.5;0.2793978714345283
15;1007;0.2794705897010707
16;1007.5;0.27954138390975447
17;1008;0.2796110368375968
18;1008.5;0.2796799171612291
19;1009;0.27974839355728276
20;1009.5;0.27981683470338925
21;1010;0.27988560927618
22;1010.5;0.27995508595328633
23;1011;0.2800256334103398
24;1011.5;0.28009762032397184
25;1012;0.2801725436882034
26;1012.5;0.2802567431489275
27;1013;0.28034934650463483
28;1013.5;0.28044750442612776
29;1014;0.2805483675822086
30;1014.5;0.28064908664367966
31;1015;0.28074681227834336
32;1015.5;0.28083869515700205
33;1016;0.28092188594845807
34;1016.5;0.28099353532351384
35;1017;0.28105251368381695
36;1017.5;0.28110272268598063
37;1018;0.2811461811155142
38;1018.5;0.28118443386347625
39;1019;0.2812190258209253
40;1019.5;0.2812515018769197
41;1020;0.2812834069215181
42;1020.5;0.2813162858457788
43;1021;0.2813516835397604
44;1021.5;0.2813911448935214
45;1022;0.2814376971106638
46;1022.5;0.2814908247714646
47;1023;0.2815482657930153
48;1023.5;0.28160807822265255
49;1024;0.2816683201037134
50;1024.5;0.2817270494855346
51;1025;0.281782324411453
52;1025.5;0.2818322029298055
53;1026;0.28187474308492877
54;1026.5;0.2819080029715185
55;1027;0.2819307254909626
56;1027.5;0.2819443411607884
57;1028;0.28195086492606264
58;1028.5;0.28195229280785183
59;1029;0.28195062082822275
60;1029.5;0.28194784500824194
61;1030;0.2819459613709761
62;1030.5;0.2819469659374917
63;1031;0.28195285472985554
64;1031.5;0.28196556095154335
65;1032;0.2819832409867589
66;1032.5;0.2820044281208833
67;1033;0.2820285226149499
68;1033.5;0.28205484997599195
69;1034;0.2820827357100429
70;1034.5;0.28211150532213586
71;1035;0.28214048431730443
72;1035.5;0.2821689982025818
73;1036;0.28219637248400126
74;1036.5;0.2822219186171866
75;1037;0.28224540511410456
76;1037.5;0.28226863827487364
77;1038;0.2822916215058874
78;1038.5;0.28231420778053934
79;1039;0.2823362500722232
80;1039.5;0.2823576013533326
81;1040;0.2823781145972612
82;1040.5;0.28239764277740265
83;1041;0.28241603886615047
84;1041.5;0.2824331905357459
85;1042;0.2824493321273635
86;1042.5;0.28246453253942794
87;1043;0.28247955370063976
88;1043.5;0.28249518960169967
89;1044;0.2825122342313082
90;1044.5;0.28253148157916613
91;1045;0.28255372563397396
92;1045.5;0.2825797603864325
93;1046;0.2826103798252423
94;1046.5;0.2826470115744855
95;1047;0.2826966945452081
96;1047.5;0.2827585654863882
97;1048;0.2828297785527711
98;1048.5;0.2829075093661021
99;1049;0.2829889335491266
100;1049.5;0.2830712267225898
101;1050;0.2831515645102371
102;1050.5;0.28322712253381377
103;1051;0.28329507641406537
104;1051.5;0.2833537857343921
