Sample name;206-DNF5548G5501
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-22 06:57:01Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.41223257228770455
2;1000.5;0.4122478392006035
3;1001;0.4122478130412423
4;1001.5;0.4122391309553235
5;1002;0.4122259278847957
6;1002.5;0.4122123385716077
7;1003;0.412202497957708
8;1003.5;0.41220054098504555
9;1004;0.41221060239556895
10;1004.5;0.4122368170312267
11;1005;0.4122833199339679
12;1005.5;0.41235454971962665
13;1006;0.41244706653987195
14;1006.5;0.41255549385140167
15;1007;0.41267524300541086
16;1007.5;0.4128017256530946
17;1008;0.412930353345648
18;1008.5;0.41305653743426635
19;1009;0.4131756896701447
20;1009.5;0.41328322160447806
21;1010;0.4133745447617822
22;1010.5;0.41344975709212317
23;1011;0.4135210159608335
24;1011.5;0.4135895393284731
25;1012;0.41365531235560143
26;1012.5;0.4137183202027785
27;1013;0.4137785479305636
28;1013.5;0.4138359805995167
29;1014;0.4138906033701974
30;1014.5;0.4139424014031655
31;1015;0.4139916982925563
32;1015.5;0.4140481973015489
33;1016;0.41410759891695753
34;1016.5;0.41416764876844614
35;1017;0.4142265357856786
36;1017.5;0.4142824487983189
37;1018;0.4143335767360309
38;1018.5;0.4143781084284786
39;1019;0.41441423280532597
40;1019.5;0.4144401386962368
41;1020;0.414454926801183
42;1020.5;0.41446856594443143
43;1021;0.4144822914868242
44;1021.5;0.4144970485100686
45;1022;0.4145138369958719
46;1022.5;0.41453365682594157
47;1023;0.41455750808198494
48;1023.5;0.41458639084570914
49;1024;0.41462130489882165
50;1024.5;0.4146632504230297
51;1025;0.4147116278420914
52;1025.5;0.41476278783772197
53;1026;0.414820568272927
54;1026.5;0.4148831683976901
55;1027;0.41494878776199473
56;1027.5;0.41501562551582455
57;1028;0.4150818811091632
58;1028.5;0.41514575379199414
59;1029;0.41520544301430096
60;1029.5;0.4152591480260672
61;1030;0.4153078514641069
62;1030.5;0.41535932525403696
63;1031;0.4154125550574815
64;1031.5;0.4154667472530325
65;1032;0.4155211085192819
66;1032.5;0.4155748454348217
67;1033;0.41562716457824356
68;1033.5;0.4156772726281397
69;1034;0.41572437596310197
70;1034.5;0.4157676812617221
71;1035;0.4158115526817041
72;1035.5;0.4158628918068283
73;1036;0.41591743737321113
74;1036.5;0.4159729938686943
75;1037;0.416027365381119
76;1037.5;0.41607835639832685
77;1038;0.41612377110815935
78;1038.5;0.4161614139984578
79;1039;0.41618908925706377
80;1039.5;0.4162046013718187
81;1040;0.41620653849151157
82;1040.5;0.4161988414827437
83;1041;0.4161843570911314
84;1041.5;0.41616503129157706
85;1042;0.4161428098589835
86;1042.5;0.416119638768253
87;1043;0.41609746359428834
88;1043.5;0.41607823041199216
89;1044;0.4160638849962668
90;1044.5;0.4160563732220151
91;1045;0.41605008401254595
92;1045.5;0.41604709274780244
93;1046;0.41604998300866647
94;1046.5;0.41605845672333697
95;1047;0.41607221562001256
96;1047.5;0.41609096152689223
97;1048;0.4161143961721745
98;1048.5;0.4161422213840583
99;1049;0.4161741390907424
100;1049.5;0.4162098358961329
101;1050;0.4162447950988075
102;1050.5;0.41628525798403154
103;1051;0.4163315838929419
104;1051.5;0.4163818190666759
105;1052;0.4164340099463706
