Sample name;988-DVS2224S3501
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-14 01:58:59Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.3455804325150983
2;1000.5;0.3455392346592739
3;1001;0.3454689428564547
4;1001.5;0.34538083842853107
5;1002;0.3452831289705903
6;1002.5;0.3451840218777195
7;1003;0.3450917247450058
8;1003.5;0.34501444516753627
9;1004;0.344960390540398
10;1004.5;0.3449377683586783
11;1005;0.34495478631746407
12;1005.5;0.34501539699304457
13;1006;0.34510856281819613
14;1006.5;0.3452264313857917
15;1007;0.3453620632746365
16;1007.5;0.34550851936353605
17;1008;0.3456588604312958
18;1008.5;0.34580614705672097
19;1009;0.3459434402186172
20;1009.5;0.3460638006957898
21;1010;0.34616029007970656
22;1010.5;0.346236262980838
23;1011;0.34630807877491104
24;1011.5;0.3463764142153579
25;1012;0.34644071325561077
26;1012.5;0.3465004198491021
27;1013;0.34655497784926403
28;1013.5;0.34660383110952886
29;1014;0.3466464235833288
30;1014.5;0.34668219922409627
31;1015;0.3467107905766772
32;1015.5;0.3467356699442794
33;1016;0.34675193023100603
34;1016.5;0.3467606823850214
35;1017;0.3467634806544896
36;1017.5;0.34676187918757484
37;1018;0.34675743223244143
38;1018.5;0.3467516939372535
39;1019;0.3467462185501753
40;1019.5;0.34674256021937094
41;1020;0.3467422337057017
42;1020.5;0.34674433871880095
43;1021;0.3467461292026722
44;1021.5;0.34674857090896855
45;1022;0.34675268448934293
46;1022.5;0.34675949049544885
47;1023;0.34677000967893923
48;1023.5;0.3467852627914672
49;1024;0.34680627028468597
50;1024.5;0.34683405301024867
51;1025;0.34686785798738945
52;1025.5;0.34690291653714833
53;1026;0.34694305728716035
54;1026.5;0.34698671506493717
55;1027;0.3470323249979904
56;1027.5;0.34707832181383175
57;1028;0.34712314053997284
58;1028.5;0.3471652160039253
59;1029;0.3472029832332007
60;1029.5;0.34723487705531075
61;1030;0.3472624603078087
62;1030.5;0.3472949094626786
63;1031;0.3473309973486267
64;1031.5;0.3473695432541385
65;1032;0.34740936676769923
66;1032.5;0.34744928737779457
67;1033;0.34748812457290956
68;1033.5;0.3475246979415298
69;1034;0.3475578267721406
70;1034.5;0.3475863306532273
71;1035;0.34761449406333184
72;1035.5;0.3476498878225537
73;1036;0.34768837170023825
74;1036.5;0.3477278319800996
75;1037;0.3477661545458518
76;1037.5;0.3478012256812088
77;1038;0.3478309313698851
78;1038.5;0.3478531578955944
79;1039;0.347865791242051
80;1039.5;0.3478667176929691
81;1040;0.34785165400067697
82;1040.5;0.3478199490289561
83;1041;0.3477755189270769
84;1041.5;0.3477214894255974
85;1042;0.34766098605507506
86;1042.5;0.3475971345460672
87;1043;0.34753306022913183
88;1043.5;0.34747188893482633
89;1044;0.3474167461937082
90;1044.5;0.3473707576363352
91;1045;0.3473239972469878
92;1045.5;0.3472739276889009
93;1046;0.3472256225858986
94;1046.5;0.34718128881250465
95;1047;0.34714313304324235
96;1047.5;0.3471133620526354
97;1048;0.3470941825152074
98;1048.5;0.34708780120548177
99;1049;0.347096424997982
100;1049.5;0.34712221725610337
101;1050;0.3471521393512946
102;1050.5;0.34718440352085217
103;1051;0.34721961208797925
104;1051.5;0.3472560542758794
105;1052;0.3472920195077558
