Sample name;2-DWS3836S320R
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-04-30 01:01:28Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.4252463131999913
2;1000.5;0.42521207453829657
3;1001;0.42515232786980944
4;1001.5;0.42507669779628265
5;1002;0.42499206368355474
6;1002.5;0.4249053046974641
7;1003;0.4248233002038496
8;1003.5;0.4247529295685496
9;1004;0.42470107195740264
10;1004.5;0.42467460663624734
11;1005;0.4246804130709224
12;1005.5;0.42472139342646564
13;1006;0.4247873595325194
14;1006.5;0.42487210077439297
15;1007;0.42497032206379803
16;1007.5;0.42507672861244605
17;1008;0.4251860255320488
18;1008.5;0.42529291773431765
19;1009;0.4253921105309644
20;1009.5;0.42547830903370043
21;1010;0.4255462184671268
22;1010.5;0.42559628840384045
23;1011;0.42564167496991157
24;1011.5;0.4256839255601653
25;1012;0.4257233547694269
26;1012.5;0.42576027719252146
27;1013;0.4257950073242741
28;1013.5;0.4258278596595101
29;1014;0.4258591487930545
30;1014.5;0.4258891893197325
31;1015;0.4259188098061316
32;1015.5;0.4259650494771311
33;1016;0.4260253375351488
34;1016.5;0.42609466510457583
35;1017;0.4261684666098038
36;1017.5;0.42624217637522366
37;1018;0.4263112288252269
38;1018.5;0.4263710582842048
39;1019;0.4264170991765484
40;1019.5;0.4264447858266493
41;1020;0.4264509029689674
42;1020.5;0.4264497923217244
43;1021;0.42644511576382627
44;1021.5;0.4264385492600824
45;1022;0.4264318236753028
46;1022.5;0.4264266697742971
47;1023;0.4264248185218751
48;1023.5;0.42642800088284627
49;1024;0.42643794752202063
50;1024.5;0.4264563895042078
51;1025;0.42648267208185453
52;1025.5;0.4265084516498808
53;1026;0.4265374219912423
54;1026.5;0.42656870637678124
55;1027;0.4266014283773397
56;1027.5;0.42663471116375973
57;1028;0.42666767820688356
58;1028.5;0.4266994527775531
59;1029;0.42672915834661074
60;1029.5;0.42675591818489833
61;1030;0.42678102628969866
62;1030.5;0.4268103277652841
63;1031;0.4268427603592615
64;1031.5;0.4268777430407087
65;1032;0.4269146950787036
66;1032.5;0.426953035642324
67;1033;0.42699218390064775
68;1033.5;0.4270315591227526
69;1034;0.4270705802777165
70;1034.5;0.42710866663461716
71;1035;0.42715045333444285
72;1035.5;0.42720268132952793
73;1036;0.42726025313418897
74;1036.5;0.4273201146956002
75;1037;0.4273792115609358
76;1037.5;0.4274344896773701
77;1038;0.42748289469207723
78;1038.5;0.4275213725522315
79;1039;0.42754686890500715
80;1039.5;0.42755632969757834
81;1040;0.42754530797504103
82;1040.5;0.42751457665237436
83;1041;0.42746885332531087
84;1041.5;0.427412044630482
85;1042;0.427348057004519
86;1042.5;0.427280797084053
87;1043;0.42721417110571547
88;1043.5;0.42715208580613756
89;1044;0.4270984476219505
90;1044.5;0.42705716308978553
91;1045;0.42702242169100985
92;1045.5;0.42699417819559804
93;1046;0.4269746502480455
94;1046.5;0.4269631785768205
95;1047;0.42695910371039103
96;1047.5;0.42696176627722515
97;1048;0.42697050680579113
98;1048.5;0.426984665924557
99;1049;0.4270035843619908
100;1049.5;0.42702658077239003
101;1050;0.427046469012952
102;1050.5;0.427068133614219
103;1051;0.42709282566122775
104;1051.5;0.42711948313901466
105;1052;0.42714704423261596
